idx,x,y
1,291839.54007890855,2558329.3464588523
2,291824.96348482673,2558333.4768117396
3,291880.21395094146,2558305.5871883556
4,291850.77762732666,2558312.152890822
5,291820.7652695185,2558312.152890822
6,291801.1020006097,2558305.061152846
7,291935.89400187845,2558273.060659372
8,291910.7730530689,2558281.827917858
9,291880.77045855206,2558282.149384002
10,291850.77762732666,2558282.149384002
11,291820.7652695185,2558282.149384002
12,291792.22716871393,2558282.149384002
13,291991.5740528154,2558240.534130388
14,291970.768478811,2558249.3013888747
15,291940.7756475857,2558252.1458771834
16,291910.7730530689,2558252.1458771834
17,291880.77045855206,2558252.1458771834
18,291850.77762732666,2558252.1458771834
19,291820.7652695185,2558252.1458771834
20,291790.7724382931,2558252.1458771834
21,291768.3656844968,2558249.681303409
22,292047.244340461,2558208.0076014046
23,292030.77366784465,2558216.774859891
24,292000.78083661926,2558222.152111762
25,291970.768478811,2558222.152111762
26,291940.7756475857,2558222.152111762
27,291910.7730530689,2558222.152111762
28,291880.77045855206,2558222.152111762
29,291850.77762732666,2558222.152111762
30,291820.7652695185,2558222.152111762
31,291790.7724382931,2558222.152111762
32,291760.7796070677,2558222.152111762
33,291744.4944369883,2558209.312948779
34,292087.9279757852,2558184.248330907
35,292060.76649907004,2558192.148604943
36,292030.77366784465,2558192.148604943
37,292000.78083661926,2558192.148604943
38,291970.768478811,2558192.148604943
39,291940.7756475857,2558192.148604943
40,291910.7730530689,2558192.148604943
41,291880.77045855206,2558192.148604943
42,291850.77762732666,2558192.148604943
43,291820.7652695185,2558192.148604943
44,291790.7724382931,2558192.148604943
45,291760.7796070677,2558192.148604943
46,291735.61960509256,2558192.148604943
47,292143.59826343076,2558151.7218019236
48,292120.7716881036,2558160.4793190113
49,292090.7788568782,2558162.1450981237
50,292060.76649907004,2558162.1450981237
51,292030.77366784465,2558162.1450981237
52,292000.78083661926,2558162.1450981237
53,291970.768478811,2558162.1450981237
54,291940.7756475857,2558162.1450981237
55,291910.7730530689,2558162.1450981237
56,291880.77045855206,2558162.1450981237
57,291850.77762732666,2558162.1450981237
58,291820.7652695185,2558162.1450981237
59,291790.7724382931,2558162.1450981237
60,291760.7796070677,2558162.1450981237
61,291730.7672492595,2558162.1450981237
62,291711.75812087546,2558153.9330993416
63,292199.27831436775,2558119.2050143387
64,292180.77687713725,2558127.9625314265
65,292150.764519329,2558132.1513327034
66,292120.7716881036,2558132.1513327034
67,292090.7788568782,2558132.1513327034
68,292060.76649907004,2558132.1513327034
69,292030.77366784465,2558132.1513327034
70,292000.78083661926,2558132.1513327034
71,291970.768478811,2558132.1513327034
72,291940.7756475857,2558132.1513327034
73,291910.7730530689,2558132.1513327034
74,291880.77045855206,2558132.1513327034
75,291850.77762732666,2558132.1513327034
76,291820.7652695185,2558132.1513327034
77,291790.7724382931,2558132.1513327034
78,291760.7796070677,2558132.1513327034
79,291730.7672492595,2558132.1513327034
80,291702.8930522711,2558132.1513327034
81,292239.961949692,2558095.4360024426
82,292210.7697083626,2558102.1478258837
83,292180.77687713725,2558102.1478258837
84,292150.764519329,2558102.1478258837
85,292120.7716881036,2558102.1478258837
86,292090.7788568782,2558102.1478258837
87,292060.76649907004,2558102.1478258837
88,292030.77366784465,2558102.1478258837
89,292000.78083661926,2558102.1478258837
90,291970.768478811,2558102.1478258837
91,291940.7756475857,2558102.1478258837
92,291910.7730530689,2558102.1478258837
93,291880.77045855206,2558102.1478258837
94,291850.77762732666,2558102.1478258837
95,291820.7652695185,2558102.1478258837
96,291790.7724382931,2558102.1478258837
97,291760.7796070677,2558102.1478258837
98,291730.7672492595,2558102.1478258837
99,291700.7744180341,2558102.1478258837
100,291679.02180476265,2558098.572732701
101,292292.16626888537,2558062.0327476105
102,292270.7748973962,2558071.676731945
103,292240.7820661708,2558072.154060463
104,292210.7697083626,2558072.154060463
105,292180.77687713725,2558072.154060463
106,292150.764519329,2558072.154060463
107,292120.7716881036,2558072.154060463
108,292090.7788568782,2558072.154060463
109,292060.76649907004,2558072.154060463
110,292030.77366784465,2558072.154060463
111,292000.78083661926,2558072.154060463
112,291970.768478811,2558072.154060463
113,291940.7756475857,2558072.154060463
114,291910.7730530689,2558072.154060463
115,291880.77045855206,2558072.154060463
116,291850.77762732666,2558072.154060463
117,291820.7652695185,2558072.154060463
