obs,pred
-999.0,4.797
1.149,4.865
1.149,4.768
-999.0,5.195
-999.0,-999.0
1.891,5.35
2.459,5.31
3.179,4.957
2.974,5.43
1.149,5.43
0.863,4.625
0.863,4.546
2.459,5.618
2.459,5.245
2.459,4.999
1.149,5.248
1.149,5.007
1.149,5.025
0.863,4.139
0.863,4.659
0.863,4.728
0.863,4.535
0.863,5.05
5.194,5.108
1.149,5.123
1.149,5.115
1.149,4.836
-999.0,5.032
0.863,4.714
-999.0,4.362
3.48,4.653
3.48,5.297
-999.0,5.146
0.863,4.906
0.863,5.066
1.149,5.162
1.149,4.929
1.149,5.021
-999.0,5.285
-999.0,4.959
3.993,4.379
-999.0,4.743
-999.0,4.755
0.863,4.456
0.863,4.669
0.863,4.66
-999.0,4.864
-999.0,5.09
0.863,4.667
0.863,4.915
0.863,4.952
1.149,5.114
1.149,5.139
3.993,5.112
3.943,5.316
2.527,5.004
-999.0,-999.0
3.334,5.233
-999.0,5.2
0.863,5.176
0.863,5.061
0.863,4.906
0.863,5.085
-999.0,4.84
-999.0,5.082
0.863,5.072
0.863,5.002
0.863,5.308
-999.0,4.915
-999.0,5.336
3.03,5.396
2.527,5.266
3.5,5.571
1.292,5.297
-999.0,4.934
-999.0,4.937
-999.0,5.328
3.334,4.96
0.863,4.513
0.863,4.759
2.663,4.849
0.863,5.0
0.863,4.746
-999.0,5.187
3.482,5.129
-999.0,4.888
-999.0,4.699
0.863,4.82
-999.0,4.98
0.915,5.445
0.915,5.16
1.292,4.939
2.034,5.145
2.034,4.875
3.768,4.718
-999.0,4.998
3.768,5.13
3.334,5.101
3.334,5.065
3.509,5.409
2.663,5.427
3.521,5.508
0.863,5.273
0.863,5.135
0.863,5.334
2.386,5.643
1.369,5.09
0.863,4.54
0.863,4.656
0.863,4.737
0.915,5.354
2.272,4.868
2.034,4.764
2.034,5.343
2.478,5.492
-999.0,4.917
1.769,4.794
3.768,4.698
1.525,5.261
-999.0,5.256
3.509,5.354
-999.0,5.349
3.521,5.378
-999.0,5.048
-999.0,4.515
-999.0,4.816
-999.0,5.146
2.569,5.589
2.569,5.342
3.538,5.423
0.863,4.719
2.072,4.884
2.272,5.129
2.272,5.638
2.478,4.61
1.368,4.976
2.539,4.79
2.539,4.058
4.214,5.467
2.86,5.275
2.86,5.284
2.86,5.188
2.711,5.4
2.711,5.311
3.307,5.19
3.307,5.144
3.307,5.043
-999.0,5.067
-999.0,4.578
-999.0,4.877
2.83,5.306
3.448,4.998
3.142,5.452
3.142,5.44
-999.0,4.743
3.448,5.346
3.448,5.434
-999.0,4.946
1.651,5.017
1.608,4.413
1.608,4.701
1.608,5.111
4.214,5.209
-999.0,5.234
3.551,5.402
1.539,5.139
2.711,4.839
-999.0,5.284
-999.0,5.113
0.916,5.26
1.737,5.197
3.197,5.043
3.197,5.145
3.197,4.944
3.448,5.24
3.448,5.205
3.142,5.358
3.448,5.097
3.448,5.282
3.448,5.139
1.768,5.366
-999.0,5.118
1.651,5.13
1.857,4.85
1.329,4.569
5.017,5.209
-999.0,4.816
-999.0,5.75
-999.0,4.686
-999.0,4.667
-999.0,4.763
3.738,5.07
2.216,5.524
-999.0,5.483
-999.0,5.213
3.711,5.535
2.276,5.408
2.276,5.587
-999.0,5.219
3.448,5.216
3.448,4.949
1.667,5.576
1.667,5.743
3.619,5.335
-999.0,5.526
3.836,5.223
0.893,5.168
1.078,5.16
1.589,4.261
1.589,4.389
1.589,4.528
1.589,-999.0
-999.0,3.844
-999.0,4.84
2.216,5.25
2.216,5.633
2.216,5.188
3.711,5.002
1.366,5.638
1.366,5.612
4.328,5.387
4.328,5.557
3.448,5.329
3.448,4.857
3.448,5.294
3.619,5.423
3.619,5.441
3.836,5.142
2.916,4.964
-999.0,5.201
1.592,5.353
1.592,5.489
1.589,5.036
1.756,5.235
4.616,5.235
-999.0,4.737
-999.0,5.371
2.227,5.517
2.227,5.04
-999.0,4.781
1.366,5.091
-999.0,5.229
4.328,5.255
-999.0,5.303
3.448,5.001
-999.0,4.137
-999.0,-999.0
3.389,5.341
3.241,5.597
3.241,5.437
2.248,5.304
3.468,5.167
2.274,5.283
3.059,5.473
3.059,4.982
-999.0,4.488
3.891,5.554
3.613,5.547
-999.0,4.333
-999.0,5.326
